Month,L,M,S,P3,P15,P50,P85,P97
0,1,49.1477,0.0379,45.6,47.2,49.1,51.1,52.7
1,1,53.6872,0.0364,50,51.7,53.7,55.7,57.4
2,1,57.0673,0.03568,53.2,55,57.1,59.2,60.9
3,1,59.8029,0.0352,55.8,57.6,59.8,62,63.8
4,1,62.0899,0.03486,58,59.8,62.1,64.3,66.2
5,1,64.0301,0.03463,59.9,61.7,64,66.3,68.2
6,1,65.7311,0.03448,61.5,63.4,65.7,68.1,70
7,1,67.2873,0.03441,62.9,64.9,67.3,69.7,71.6
8,1,68.7498,0.0344,64.3,66.3,68.7,71.2,73.2
9,1,70.1435,0.03444,65.6,67.6,70.1,72.6,74.7
10,1,71.4818,0.03452,66.8,68.9,71.5,74,76.1
11,1,72.771,0.03464,68,70.2,72.8,75.4,77.5
12,1,74.015,0.03479,69.2,71.3,74,76.7,78.9
13,1,75.2176,0.03496,70.3,72.5,75.2,77.9,80.2
14,1,76.3817,0.03514,71.3,73.6,76.4,79.2,81.4
15,1,77.5099,0.03534,72.4,74.7,77.5,80.3,82.7
16,1,78.6055,0.03555,73.3,75.7,78.6,81.5,83.9
17,1,79.671,0.03576,74.3,76.7,79.7,82.6,85
18,1,80.7079,0.03598,75.2,77.7,80.7,83.7,86.2
19,1,81.7182,0.0362,76.2,78.7,81.7,84.8,87.3
20,1,82.7036,0.03643,77,79.6,82.7,85.8,88.4
21,1,83.6654,0.03666,77.9,80.5,83.7,86.8,89.4
22,1,84.604,0.03688,78.7,81.4,84.6,87.8,90.5
23,1,85.5202,0.03711,79.6,82.2,85.5,88.8,91.5
24,1,86.4153,0.03734,80.3,83.1,86.4,89.8,92.5
